ASV	S1	S10	S100	S101	S102	S103	S104	S105	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S12	S120	S121	S122	S123	S124	S125	S126	S127	S128	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S66	S67	S68	S69	S7	S70	S71	S72	S73	S74	S75	S76	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S92	S93	S94	S95	S97	S98	S99
ASV_28	405	45	502	274	104	80	806	327	157	220	53	76	113	147	497	263	264	876	12	51	13	273	7	726	491	510	609	19	231	56	38	301	1624	76	651	2110	85	633	362	490	382	1278	296	374	183	1376	298	236	39	170	505	137	677	245	85	1041	762	863	1258	625	939	789	2106	616	1064	94	719	202	350	71	88	116	37	106	57	60	49	255	58	173	164	299	1180	251	195	430	1	55	1163	150	100	117	45	348	741	68	58	56	24	57	193	334	1031	123	154	591	2398	265	910	2619	570	355	543	212	134	1022	86	1401	105	648	98
ASV_29	305	46	593	304	77	94	667	560	595	1073	47	68	120	84	1060	351	261	2086	232	174	168	182	136	331	308	409	1160	4	280	107	35	706	212	33	510	636	42	424	168	144	753	601	385	809	114	1034	328	663	46	477	386	567	609	149	41	439	467	265	332	309	446	44	338	73	114	383	387	88	435	979	646	37	629	2432	595	290	1413	333	181	2212	76	186	514	299	81	375	8	2	439	612	80	167	1	593	344	71	7	90	247	98	464	832	740	216	10	601	806	78	255	1004	182	163	228	233	48	799	51	1529	846	896	377
ASV_30	216	6	1	3337	62	78	4403	383	138	157	132	99	102	101	1277	348	508	802	437	121	439	20	95	414	369	1547	102	1729	630	590	675	0	9	5	1	387	5	276	95	66	161	223	25	0	19	174	0	82	57	52	102	40	813	101	50	417	0	1	0	227	0	1	15	40	8	7	66	3	3	17	62	29	5	18	0	1	6	10	8	116	170	16	0	0	0	1	3	23	22	4228	36	520	36	4964	83	961	254	438	60	229	38	55	20	26	48	1	8	21	3	0	1163	14	0	387	250	5103	320	7568	1	10	22
ASV_33	4	90	23	0	9	3	70	6	6	5	6	9	61	7	5	12	3	19	2	5	0	936	0	179	30	229	490	2414	941	2748	4275	7	326	14	25	10	5	269	107	0	7	334	4	0	0	20	5	21	0	31	103	52	843	38	111	3381	10	257	5	7	33	753	661	134	2023	39	2	37	143	1	705	16	7	2	1	7	17	2	25	566	63	13	4382	791	293	3693	1	36	31	6	188	1	66	49	5	10	20	3	3	7	8191	0	0	0	8	6	772	33	472	3885	0	72	77	110	22	75	3	101	2	24	74
ASV_34	289	863	0	3	63	21	8	34	130	39	216	107	244	196	41	10	933	9	64	377	2316	579	0	72	1	56	18	39	2	89	0	531	87	419	311	126	18	78	3212	6	267	191	47	25	6	93	1	398	5221	417	727	46	1	8	50	4	871	60	31	539	315	2	3	16	0	863	178	706	212	611	817	1248	18	816	1131	2445	26	325	59	2935	821	11	821	320	243	16	1	44	3	526	442	96	1600	54	64	21	33	6	17	209	583	14	25	12	1807	0	229	48	3700	10	0	637	0	20	1	323	156	914	2	7	8
ASV_35	2	3089	0	0	12	56	0	0	7	0	0	3	0	0	0	12	2	0	4	641	26	26	0	0	2	16	0	0	0	38	0	28	1	717	17	20	455	44	8094	1	37	259	2	3	447	25	0	6	29398	206	355	1	0	47	984	0	0	0	0	8	0	0	0	25	1	0	0	7	0	0	29	72	0	0	0	23	0	5	3	26	43	0	0	59	517	0	1	57	0	0	718	0	8	0	0	0	0	1	44	0	14	0	0	0	14	0	0	0	0	0	0	15	2	9	0	0	4	0	0	0	38
ASV_36	0	2	1	0	0	145	0	0	12	0	0	0	4	0	1	0	14	0	0	9	581	0	1	0	0	9	0	2	2	87	0	0	0	6	0	0	1	2	0	0	0	19	0	1	2	0	0	0	73	6	157	0	0	0	32	0	1	0	0	0	0	0	0	33	0	0	0	28	0	0	2	28	0	0	3	30	0	0	0	86	0	0	0	0	63	0	0	292	0	0	0	0	21	0	0	0	6	0	0	32	0	0	0	0	36	0	0	2	108	0	0	1	0	11	0	0	0	264	0	0	40
ASV_37	1	2	0	0	2	245	0	0	49	0	2	2	12	0	0	3	19	0	0	4	276	0	0	0	0	327	0	0	1	156	0	1	1	3	0	0	0	3	9	0	0	12	0	0	7	0	0	0	181	10	192	0	0	0	70	0	1	0	1	0	0	0	0	24	0	1	0	15	1	0	0	48	0	0	3	54	0	0	3	420	0	0	0	1	155	0	0	517	0	0	0	1	21	0	0	0	19	0	2	36	0	0	0	0	345	0	0	2	557	0	0	0	0	148	0	0	0	272	0	4	128
ASV_38	34	3	42	0	3	0	2	615	88	251	10	5	9	7	3	0	1	3	9	35	9	3	0	129	140	97	66	4	886	152	92	1	1356	10	6	42	1	989	170	9	5192	4472	2260	8	769	12196	15	910	2	830	988	706	208	51	24	308	625	747	1012	5	648	308	2433	810	1105	2	39	188	5	12	2	33	5	15	9	2	3	8	4	12	8	8	576	216	137	235	1	0	9	7	0	51	1	15	4	2	9	5	1	6	9	256	10	54	20	6	28	4	12	22	9	4	0	245	4	5	2	3	29	31	4
ASV_39	317	39	801	106	212	45	186	238	143	201	379	223	850	502	171	19	218	91	81	9	37	1156	3	1066	42	408	400	221	47	130	26	716	435	135	897	270	28	273	73	4	1312	862	200	1382	94	935	125	322	149	34	255	109	373	24	64	85	1375	293	299	481	537	1749	229	147	284	590	455	237	480	2035	227	58	555	1086	39	319	231	983	40	363	112	35	533	56	87	29	1	12	678	585	225	59	100	270	1120	8	44	2	79	103	258	842	997	106	267	281	367	23	125	76	630	460	16	70	130	1290	5	1134	685	703	266
